"Designator","Mid X","Mid Y","Layer","Rotation"
"C1",148.650000,-94.750000,"Top",180.000000
"C2",152.150000,-105.480000,"Top",90.000000
"D1",161.150000,-87.250000,"Top",0.000000
"D2",165.400000,-87.250000,"Top",180.000000
"R1",148.562500,-115.500000,"Top",180.000000
"R2",139.900000,-116.750000,"Top",0.000000
"R3",151.900000,-117.487500,"Top",-90.000000
"R4",139.900000,-118.365000,"Top",0.000000
"R5",151.760000,-97.280000,"Top",90.000000
"R6",141.265000,-121.350000,"Top",90.000000
"R7",145.075000,-121.352500,"Top",90.000000
"R8",145.150000,-118.152500,"Top",90.000000
"R9",146.350000,-121.350000,"Top",90.000000
"R10",143.805000,-121.350000,"Top",90.000000
"R11",142.535000,-121.352500,"Top",90.000000
"R12",169.780000,-96.950000,"Top",180.000000
"R13",161.150000,-89.250000,"Top",180.000000
"R14",167.400000,-118.250000,"Top",0.000000
"R15",165.400000,-89.250000,"Top",0.000000
"U1",148.910000,-97.440000,"Top",180.000000
"U2",158.900000,-92.000000,"Top",180.000000
"U3",128.750000,-97.750000,"Top",-90.000000
